held_out,train_dataset,family,acc.true,acc.pred,f1.true,f1.pred,auroc.true,auroc.pred,brier.true,brier.pred,meanconf.true,meanconf.pred,nll.true,nll.pred
imdb,imdb,sentiment,0.7954999804496765,0.7016037106513977,0.7949348092079163,0.6424587368965149,0.9358345866203308,0.8940945863723755,0.19864186644554138,0.21888361871242523,0.5751235485076904,0.7067400813102722,0.5877537131309509,0.5769494771957397
imdb,imdb,sentiment,0.8985000252723694,0.8450976014137268,0.8980354070663452,0.8308366537094116,0.9654359221458435,0.96855628490448,0.07875598967075348,0.11435912549495697,0.8528338670730591,0.8726908564567566,0.27114254236221313,0.40213117003440857
imdb,imdb,sentiment,0.5895000100135803,0.695523202419281,0.43206796050071716,0.6434445381164551,0.8858646750450134,0.8734443187713623,0.21558710932731628,0.2543620467185974,0.632446825504303,0.6455302834510803,0.6198713779449463,0.6221300959587097
imdb,imdb,sentiment,0.5580000281333923,0.6906841993331909,0.35815146565437317,0.6321238279342651,0.8639543652534485,0.880050778388977,0.2601878345012665,0.23639720678329468,0.7577823400497437,0.6654670834541321,0.7133994698524475,0.6017405390739441
imdb,imdb,sentiment,0.9024999737739563,0.817581295967102,0.8998888731002808,0.7927737832069397,0.9666725397109985,0.9596378207206726,0.07321356981992722,0.13832740485668182,0.9070397615432739,0.8658321499824524,0.24453233182430267,0.44197797775268555
imdb,imdb,sentiment,0.9054999947547913,0.839544415473938,0.902969241142273,0.8205704689025879,0.9687515497207642,0.961254358291626,0.07203281670808792,0.12083356082439423,0.9174878001213074,0.8725037574768066,0.24655547738075256,0.39556685090065
imdb,imdb,sentiment,0.8690000176429749,0.8085998296737671,0.8644609451293945,0.7849745750427246,0.9528596997261047,0.9520733952522278,0.15763084590435028,0.15438619256019592,0.6287570595741272,0.7857053279876709,0.499288946390152,0.4853721857070923
imdb,imdb,sentiment,0.8485000133514404,0.7880653142929077,0.8484954237937927,0.7510478496551514,0.9474250674247742,0.9455082416534424,0.18051573634147644,0.16490314900875092,0.5975747108459473,0.768426775932312,0.5491027235984802,0.5045063495635986
imdb,imdb,sentiment,0.6890000104904175,0.7467004656791687,0.6815453171730042,0.6964569091796875,0.883389413356781,0.9249794483184814,0.22480863332748413,0.18602420389652252,0.5455032587051392,0.6426486372947693,0.6422072052955627,0.5774651169776917
imdb,imdb,sentiment,0.44200000166893005,0.6958075165748596,0.30727890133857727,0.6307878494262695,0.7510263323783875,0.8803234100341797,0.25652560591697693,0.22552187740802765,0.5861009955406189,0.5797778964042664,0.7060794830322266,0.646844744682312
imdb,imdb,sentiment,0.593500018119812,0.7225568890571594,0.5574256777763367,0.6747470498085022,0.9252055883407593,0.9078494310379028,0.2220676690340042,0.20356173813343048,0.564012348651886,0.6343404054641724,0.6357851028442383,0.609319806098938
imdb,imdb,sentiment,0.6060000061988831,0.6981274485588074,0.49670687317848206,0.6399068832397461,0.7322952747344971,0.890450656414032,0.23477081954479218,0.21592003107070923,0.5490947365760803,0.5878660082817078,0.6623715162277222,0.6215634942054749
imdb,imdb,sentiment,0.828499972820282,0.7384465932846069,0.8277150392532349,0.6868265867233276,0.91157466173172,0.9321743249893188,0.20991986989974976,0.19080287218093872,0.553317666053772,0.6266301870346069,0.6120510697364807,0.5742933750152588
imdb,imdb,sentiment,0.7304999828338623,0.7556269764900208,0.687080442905426,0.7173401117324829,0.9390832781791687,0.9148736000061035,0.19737574458122253,0.1888638287782669,0.591573178768158,0.6345140337944031,0.5847885012626648,0.5616799592971802
imdb,imdb,sentiment,0.6804999709129333,0.7223271727561951,0.6701062917709351,0.677006185054779,0.9021234512329102,0.9008813500404358,0.22155646979808807,0.21839827299118042,0.5529242753982544,0.6329482197761536,0.6353230476379395,0.6088402271270752
imdb,imdb,sentiment,0.44200000166893005,0.7050989270210266,0.3065187335014343,0.6465383172035217,0.8089821934700012,0.9039652943611145,0.28923287987709045,0.20434868335723877,0.6874553561210632,0.6116735339164734,0.7742683291435242,0.6027764678001404
imdb,imdb,sentiment,0.6909999847412109,0.7336794137954712,0.6296522617340088,0.6856720447540283,0.9007317423820496,0.9072141051292419,0.22250014543533325,0.19483433663845062,0.5499970316886902,0.590122401714325,0.6376302242279053,0.5795893669128418
imdb,imdb,sentiment,0.5695000290870667,0.6712537407875061,0.3861730694770813,0.6123724579811096,0.9421541094779968,0.8442091345787048,0.21927157044410706,0.23287320137023926,0.6152839660644531,0.5509442687034607,0.6288197636604309,0.6240580677986145
imdb,imdb,sentiment,0.7229999899864197,0.7135115265846252,0.6830573081970215,0.6634045839309692,0.8908533453941345,0.902273952960968,0.20228058099746704,0.20371192693710327,0.5877053737640381,0.6558659672737122,0.5950056910514832,0.6245920062065125
imdb,imdb,sentiment,0.5715000033378601,0.7448016405105591,0.526105523109436,0.7032621502876282,0.9236587285995483,0.9164882898330688,0.22346192598342896,0.1905786395072937,0.568225085735321,0.6168555021286011,0.6383994817733765,0.5753759145736694
imdb,imdb,sentiment,0.5835000276565552,0.6743941307067871,0.5424584150314331,0.5964264869689941,0.9242132306098938,0.8566910028457642,0.236570805311203,0.22286100685596466,0.5285789370536804,0.5355201363563538,0.6661513447761536,0.6169346570968628
imdb,imdb,sentiment,0.5569999814033508,0.6532105207443237,0.35773923993110657,0.5586856007575989,0.5270337462425232,0.8416096568107605,0.24693983793258667,0.23270243406295776,0.581017017364502,0.5029426217079163,0.6870176792144775,0.6287062168121338
imdb,imdb,sentiment,0.8009999990463257,0.7361109256744385,0.7863330245018005,0.6823804378509521,0.9152531623840332,0.9023049473762512,0.20841075479984283,0.1973639279603958,0.5590178370475769,0.5881849527359009,0.6089839935302734,0.5554186105728149
imdb,imdb,sentiment,0.8565000295639038,0.7679824233055115,0.8563663959503174,0.7311177253723145,0.9408966898918152,0.9416605830192566,0.19013267755508423,0.17505252361297607,0.5803536176681519,0.666100025177002,0.5704318284988403,0.5583430528640747
imdb,imdb,sentiment,0.5895000100135803,0.7786968350410461,0.5513797402381897,0.7424086928367615,0.9338822960853577,0.9453526735305786,0.21116384863853455,0.17075124382972717,0.6176142692565918,0.7030306458473206,0.6090083122253418,0.5433349609375
