adapter_idx,pool,source,label,label_noise,shards_total,epochs,accuracy,f1_macro,nll,brier,auroc,mean_confidence,adapter_qname,error
1248,train,new,train-sst2-i1248,0.0,16,2,0.9415,0.9406668287763852,0.22586249470954095,0.0525914803011098,0.9802132494850712,0.9813994107663397,glad/sft-model-35ca5ece:v0,
1249,train,new,train-sst2-i1249,0.0,16,2,0.93,0.9291738841851354,0.188030004620736,0.052860333811193254,0.9785336487779562,0.9526757965958957,glad/sft-model-7d297cdd:v0,
1250,train,new,train-sst2-i1250,0.0,16,2,0.932,0.9313937955777247,0.19766275976970069,0.052978957712256455,0.979855434729723,0.9682097543705225,glad/sft-model-5c25df9c:v0,
1251,train,new,train-sst2-i1251,0.0,16,2,0.934,0.9334849071207431,0.1966252325502237,0.051955526393626925,0.9839662498580904,0.9705592672837615,glad/sft-model-71f859f2:v0,
1252,train,new,train-sst2-i1252,0.4,8,2,0.8425,0.8331687529840945,0.6039996799437208,0.20590522060405966,0.9558144390924277,0.5562555273763695,glad/sft-model-37a31572:v0,
1253,train,new,train-sst2-i1253,0.4,8,2,0.882,0.8785307157731983,0.4845341756879375,0.15055376213418709,0.9543634141001314,0.6429758921660117,glad/sft-model-4a88409a:v0,
1254,train,new,train-sst2-i1254,0.4,8,2,0.8795,0.8752536014052346,0.5491982581046411,0.17970539582156972,0.9544105483384422,0.591650378739773,glad/sft-model-799941a6:v0,
1255,train,new,train-sst2-i1255,0.4,8,2,0.8895,0.8858211282060819,0.5135742742119571,0.16337738014005856,0.9668935191942782,0.614801016075903,glad/sft-model-f3042575:v0,
1256,train,new,train-sst2-i1256,0.4,8,2,0.8785,0.8774966670775317,0.5473215599643972,0.17880754392045572,0.9475330041032128,0.5938088007817489,glad/sft-model-e9e5d00a:v0,
1257,train,new,train-sst2-i1257,0.4,8,2,0.8135,0.7979401268968507,0.6248091864058779,0.21607396283105731,0.9455300523848911,0.5458502507205689,glad/sft-model-49b218f8:v0,
1258,train,new,train-sst2-i1258,0.4,8,2,0.912,0.9107786489251362,0.5345505975277265,0.17239141177568318,0.971191350816588,0.5956142833988249,glad/sft-model-f53af04a:v0,
1259,train,new,train-sst2-i1259,0.4,8,2,0.9085,0.907547531556983,0.5513903308434769,0.18067573518411845,0.9681311730647595,0.5846820962915197,glad/sft-model-5b5d6666:v0,
1260,train,new,train-sst2-i1260,0.4,8,2,0.8645,0.8644788248163775,0.545468242606152,0.1783621277343689,0.9619935856890315,0.5970759514772276,glad/sft-model-e6131ede:v0,
1261,train,new,train-sst2-i1261,0.4,8,2,0.869,0.868881993794415,0.4982245202116273,0.15706677713057043,0.9590226082161566,0.6323176760717883,glad/sft-model-a78bc890:v0,
1262,train,new,train-sst2-i1262,0.4,8,2,0.866,0.8615130219098801,0.5364549539499469,0.17390017774222868,0.9396555044681231,0.6051291800963593,glad/sft-model-9f18a6b0:v0,
1263,train,new,train-sst2-i1263,0.4,8,2,0.8825,0.8785880775042049,0.583092635878978,0.19583355185974893,0.9532154673283705,0.5674695582328972,glad/sft-model-a9ce396b:v0,
1264,train,new,train-sst2-i1264,0.4,8,2,0.903,0.9022602075106481,0.516154183009052,0.1644016769586508,0.96373248430886,0.6109136911666291,glad/sft-model-c854e4e7:v0,
